household_ID,poor_stat,num_rooms,bathroom,refrig,no_elect,no_toilet,comp,dep_rate,tv,mobile,num_hh,urban,mean_educ,num_children,num_adults,num_elderly,disabled,mar_stat,age
21eb7fcc1,0,3,1,1,0,0,0,0,0,1,1,1,10,0,1,0,0,0,43
0e5d7a658,0,4,1,1,0,0,0,1,0,1,1,1,12,0,1,1,0,0,67
2c7317ea8,0,8,1,1,0,0,0,1,0,0,1,1,11,0,1,1,1,1,92
2b58d945f,0,5,1,1,0,0,0,1,0,1,4,1,11,2,2,0,0,0,38
d6dae86b7,0,2,1,1,0,0,0,1,0,1,4,1,10,2,2,0,0,0,30
bb2094100,0,3,1,1,0,0,0,1,0,1,2,1,23,1,1,0,0,0,34
c51f9c774,0,4,1,1,0,0,0,0.5,0,1,2,1,9.5,0,2,1,0,0,79
6893e65ca,0,2,1,1,0,0,0,1.5,0,1,4,1,17,2,2,1,0,0,50
d29058053,0,4,1,1,0,0,0,0,0,1,2,1,13.5,0,2,0,0,0,26
ec0e8edce,0,3,1,1,0,0,0,1,0,1,2,1,10,0,2,2,0,0,69
3e16fab89,0,1,0,1,0,1,0,0,0,1,3,1,10.333333,0,3,0,0,0,41
1e84a2ac8,0,5,1,1,0,0,0,0,0,1,1,1,15,0,1,0,0,0,44
759df0194,0,4,1,1,0,0,0,0.3333333333333333,1,1,3,1,6.666666499999999,0,3,1,0,0,69
f2fcf00fd,0,5,1,1,0,0,0,0,0,1,2,1,9.5,0,2,0,0,0,35
cb6bb28dd,0,5,1,1,0,0,0,0.25,0,1,5,1,5.25,1,4,0,0,0,56
cbf24a06c,0,4,1,1,0,0,0,0.5,0,1,3,1,7,1,2,0,0,0,37
922a1f87a,0,5,1,1,0,0,0,0,0,1,2,1,11,0,2,0,0,0,44
a57a1f2f4,0,8,1,1,0,0,1,1,0,1,3,1,15.5,1,2,1,0,0,76
9b084b23d,0,4,1,1,0,0,0,1,0,1,2,1,10,0,2,2,0,0,69
6ddd55b3e,0,5,1,1,0,0,0,0.5,0,1,3,1,13.5,1,2,0,0,0,48
652a7ffa0,1,5,1,1,0,0,0,1,0,1,4,1,11,2,2,0,0,0,42
b9d64d752,0,5,1,1,0,0,0,1,0,1,4,1,9,2,2,0,0,0,37
09a26c158,1,1,0,0,0,1,0,1,0,0,1,1,7,0,1,1,0,0,71
e2f9717d3,0,3,1,1,0,0,0,0,1,1,2,1,10,0,2,0,0,0,30
65d20b573,0,6,1,1,0,0,1,0.3333333333333333,1,1,3,1,13,0,3,1,0,0,55
d9281c805,1,6,1,1,0,0,0,1,0,1,1,1,9,0,1,1,0,0,71
5f7699c70,0,3,1,1,0,0,0,0.6666666666666666,0,1,5,1,9,2,3,0,0,0,29
a0a822586,0,6,1,1,0,0,1,0.6666666666666666,1,1,4,1,14,1,3,1,0,0,45
b2ceb3e5c,0,6,1,1,0,0,0,0.5,1,1,3,1,16.5,1,2,0,0,0,57
69bfa2895,0,6,1,1,0,0,1,0.5,1,1,3,1,14,1,2,0,0,0,41
bcc196e5a,0,7,1,1,0,0,1,0,1,1,3,1,14.333332999999998,0,3,0,0,0,60
fca2c4361,0,5,1,1,0,0,0,0.6666666666666666,0,1,3,1,9.333333,0,3,2,0,0,67
2b1a06ddc,0,4,1,1,0,0,0,0.5,0,1,2,1,6.5,0,2,1,0,0,89
caa343c15,0,4,1,1,0,0,0,1,0,1,4,1,12,2,2,0,0,0,39
0b7ee52ff,0,4,1,1,0,0,0,1,0,1,1,1,11,0,1,1,0,0,66
14aeb8605,0,4,1,1,0,0,0,0.6666666666666666,1,1,5,1,6,2,3,0,0,0,59
07a5de1ba,0,3,1,1,0,0,0,2,0,1,3,1,8,2,1,0,0,0,38
5e72b4b07,0,6,1,1,0,0,1,0.5,0,1,3,1,14,1,2,0,0,0,43
288b0f0fa,0,4,1,1,0,0,0,0.5,0,1,3,1,11,1,2,0,0,0,44
ed19e63e8,0,5,1,1,0,0,0,1,0,1,1,1,6,0,1,1,0,0,79
bb809b379,0,6,1,1,0,0,0,1,0,1,1,1,4,0,1,1,0,0,75
f954c1672,0,5,1,1,0,0,0,0.5,1,0,2,1,6,0,2,1,0,0,78
c179fa326,0,5,1,1,0,0,0,0.75,1,1,6,1,11.5,2,4,1,0,0,67
ac94e73e6,0,7,1,1,0,0,0,0.3333333333333333,0,1,4,1,13,1,3,0,0,0,55
d9e9b591a,1,5,1,1,0,0,0,0.2,0,1,5,1,9,0,5,1,0,0,68
52123171a,0,7,1,1,0,0,0,0.75,1,1,4,1,12.75,0,4,3,1,1,75
81cfc3f8c,0,5,1,1,0,0,0,1,0,1,4,1,9.5,2,2,0,0,0,34
2d9be16e2,0,6,1,1,0,0,1,1,0,1,2,1,12.5,0,2,2,0,0,70
d8df976c0,0,6,1,1,0,0,1,1,0,1,4,1,13.5,2,2,0,0,0,42
51f90290c,0,5,1,1,0,0,0,1,0,1,2,1,7,1,1,0,0,0,49
a0dfd005d,0,1,1,1,0,0,0,0,0,1,2,1,5.5,0,2,0,0,0,58
63f11d6ea,0,3,1,1,0,0,0,0.2222222222222222,0,1,10,1,7.777777700000001,1,9,1,0,0,49
347058ce6,1,5,1,1,0,0,0,1.5,0,1,5,1,9.5,3,2,0,0,0,27
28ec0c747,0,7,1,1,0,0,0,0.3333333333333333,0,1,7,1,7.5,1,6,1,0,0,56
71bec40bc,1,3,1,1,0,0,0,0.75,0,1,7,1,4.5,3,4,0,0,0,60
4b301d9b2,0,5,1,1,0,0,0,0.5,0,1,6,1,10,2,4,0,0,0,44
b5aab6c5e,0,5,1,1,0,0,0,0.3333333333333333,1,1,4,1,11.333333,1,3,0,0,0,53
a4baf0b14,0,1,1,0,0,0,0,0,0,1,1,1,6,0,1,0,0,0,23
f01ee929b,1,3,1,1,0,0,0,1,1,1,2,1,6,1,1,0,0,0,40
322cefd2f,1,4,1,1,0,0,0,1.25,0,1,9,1,6.25,5,4,0,0,0,52
f1e36c6f8,1,4,1,1,0,0,0,3,0,1,4,1,6,3,1,0,0,0,29
e2b6ecbba,1,4,1,1,0,0,0,2,0,1,3,1,10,2,1,0,0,0,25
9c2388963,0,7,1,1,0,0,0,1,0,1,1,1,16,0,1,1,0,0,70
9d5fdd09f,0,6,1,1,0,0,1,0,0,1,3,1,15,0,3,0,0,0,53
1ea163834,0,8,1,1,0,0,0,1,0,1,4,1,16,2,2,0,0,0,33
9106fd2ee,0,7,1,1,0,0,0,0.5,0,1,3,1,19,1,2,0,0,0,46
d4b71e99f,0,7,1,1,0,0,0,0.5,1,1,2,1,10,0,2,1,0,0,66
e45f99999,1,5,1,0,0,0,0,0.5,0,0,2,1,5,0,2,1,0,0,65
aa3814397,0,5,1,1,0,0,0,0,0,1,3,1,14.333332999999998,0,3,0,0,0,61
5ae10ba01,0,7,1,1,0,0,1,0.5,1,1,4,1,12.25,0,4,2,0,0,68
4ea540ed6,0,6,1,1,0,0,0,0,1,1,2,1,14,0,2,0,0,0,23
6900c4bc1,0,6,1,1,0,0,0,0.6666666666666666,0,1,3,1,5.6666665,0,3,2,0,0,81
76370c62a,0,6,1,0,0,0,0,0,1,1,1,1,14,0,1,0,0,0,22
72442f7fc,0,6,1,0,0,0,0,0,1,1,1,1,14,0,1,0,0,0,23
15e096859,0,6,1,0,0,0,0,0,1,1,1,1,14,0,1,0,0,0,22
cad4908f4,0,4,1,1,0,0,0,0,0,1,1,1,17,0,1,0,0,0,46
d411f898f,0,8,1,1,0,0,0,0,1,1,1,1,15,0,1,0,0,0,30
1f9cdfd87,0,7,1,1,0,0,0,0,0,1,3,1,9.666667,0,3,0,0,0,62
6f832e4df,1,6,1,1,0,0,0,1,0,0,1,1,8,0,1,1,0,0,88
3ab475993,0,8,1,1,0,0,1,0,1,1,2,1,13,0,2,0,0,0,61
f39a29177,0,4,1,1,0,0,0,1.5,0,1,5,1,5,3,2,0,0,0,39
ece1115ac,0,3,1,1,0,0,0,0.5,0,1,2,1,4.5,0,2,1,1,1,65
fabb02be9,0,4,1,0,0,0,0,0,0,1,3,1,2,0,3,0,0,0,59
f9480a013,0,4,1,1,0,0,0,1,0,1,1,1,7,0,1,1,0,0,78
0f87a987f,0,5,1,1,0,0,0,1,1,1,4,1,7.5,2,2,0,0,0,30
bbd43bd99,0,6,1,1,0,0,1,0.5,0,1,3,1,8,1,2,0,1,1,55
970027381,0,6,1,1,0,0,0,1.3333333333333333,1,1,6,1,13,3,3,1,0,0,69
8ec412b0a,0,4,1,1,0,0,0,0.3333333333333333,0,1,4,1,9.333333,1,3,0,0,0,37
159ea258f,0,7,1,1,0,0,1,0,1,1,4,1,11.5,0,4,0,0,0,61
bdd842cfd,0,10,1,1,0,0,1,0.5,1,1,6,1,17,2,4,0,0,0,53
0473832dd,0,5,1,1,0,0,0,1,0,1,4,1,10.5,2,2,0,0,0,45
4b6077882,1,3,1,0,0,0,0,2,0,1,3,1,5,2,1,0,0,0,22
6833ac5dc,1,3,1,1,0,0,0,2,1,1,6,1,13.5,4,2,0,0,0,36
35c040720,0,7,1,1,0,0,0,0.2,1,1,6,1,11.4,1,5,0,0,0,53
b9207c3a3,0,4,1,1,0,0,0,0.25,0,1,5,1,11.75,1,4,0,0,0,53
b7e6198b0,0,6,1,1,0,0,0,0.3333333333333333,0,1,3,1,9.333333,0,3,1,1,1,66
252a57c2d,0,5,1,1,0,0,0,0.3333333333333333,0,1,4,1,6.666666499999999,1,3,0,0,0,55
cd8ba4e90,0,4,1,1,0,0,1,0,1,1,3,1,8,0,3,0,1,1,59
575416e27,1,4,1,1,0,0,0,3,0,1,4,1,16,3,1,0,0,0,39
ef0e2156b,0,5,1,1,0,0,0,1,1,1,2,1,7,1,1,0,0,0,57
43b9c83e5,1,6,1,1,0,0,0,2,0,1,6,1,6,4,2,0,0,0,39
c60226aa6,0,6,1,1,0,0,0,2,1,1,3,1,11,2,1,0,0,0,38
ad99429f5,0,5,1,1,0,0,0,0,0,1,3,1,7,0,3,0,0,0,51
67470962b,0,6,1,1,0,0,0,1,1,1,4,1,6,2,2,0,0,0,38
